Restaurant Name,Address ;
Café Antonia,112 rue du Faubourg Saint -Honoré Le Jardin Français - 75008 Paris France;
NA,NA;
Mona Lisa,18 rue Lacuee - 75012 Paris France;
Bistrot Maison Rouge,12 Rue de la Ferronnerie Place Marguerite de Navarre - 75001 Paris France;
62 Degrés,60 rue du Dessous des Berges - 75013 Paris France;
Cafe L'Exception,24 rue Berger - 75001 Paris France;
Piston Pélican,15 - Rue de Bagnolet - 75020 Paris France;
ZA Paris  - FERMÉ,Rue berger Forum des Halles - 75001 Paris France;
La Cevicheria,16 avenue Niel - 75017 Paris France;
Thiou,94 boulevard de la Tour Maubourg vue sur le Dôme des Invalides - 75007 Paris France;
Raw,57 rue de Turenne - 75003 Paris France;
Made in Corsica,26 Boulevard Exelmans - 75016 Paris France;
Le Comptoir Buffon,36 boulevard Pasteur - 75015 Paris France;
Indiana Café  - Bonne Nouvelle,42 B boulevard de Bonne Nouvelle 42 Bis Boulevard Bonne Nouvelle - 75010 Paris France;
La Chope,227 rue du Faubourg Saint Martin - 75010 Paris France;
NA,NA;
P'tit Creux,4 rue des Fosses Saint Marcel - 75005 Paris France;
Le Purple Bar  - FERMÉ,51 – 57 - Rue De Courcelles L'Hotel Du Collectioneur - 75008 Paris France;
Resto Kalinka,17 rue de Trevise - 75009 Paris France;
Francesca,11 Boulevard de Vaugirard Gare Montparnasse Niveau Mezzanine - 75741 Paris France;
La Grange,20 rue Saussier Leroy - 75017 Paris France;
Café Arthur et Juliette,51 rue des Morillons - 75015 Paris France;
Paris Follie's,74 avenue Kleber - 75116 Paris France;
Sushi Nagoya,59 rue Dauphine - 75006 Paris France;
Bagel Corner Gobelins,66 avenue des Gobelins - 75013 Paris France;
Kim & Kim,15 rue Chevreul - 75011 Paris France;
Turkish Snack,26 rue du Faubourg du Temple - 75011 Paris France;
Cottage Elysée,14 rue Lincoln - 75008 Paris France;
L'Accolade,208 Rue de la Croix Nivert - 75015 Paris France;
Pizza Hut,9 Rue Rochechouart - 75009 Paris France;
